id;winner_ace;winner_df;winner_serve_points;winner_1st_in;winner_1st_won;winner_2nd_won;loser_df;loser_serve_points;loser_1st_in;loser_1st_won;loser_2nd_won;match_id;loser_ace
22726;16;3;103;68;54;16;1;92;45;37;30;102759;9
22727;8;1;59;41;33;7;3;47;25;20;6;102760;3
22728;16;5;86;49;46;20;2;98;55;38;26;102761;5
22729;4;1;70;46;35;13;2;77;40;28;23;102762;3
22730;7;2;93;62;44;16;4;90;45;38;20;102763;13
22731;3;1;94;51;37;21;4;106;62;43;18;102764;17
22732;4;2;63;35;27;20;5;76;38;31;13;102780;18
22733;7;2;76;48;33;17;6;73;37;25;20;102781;11
22734;0;0;50;26;19;17;0;64;39;25;8;102782;6
22735;11;1;77;48;40;16;2;62;43;35;9;102783;7
22736;4;1;71;38;25;21;7;58;36;26;5;102784;8
22737;10;5;60;25;22;18;4;72;38;27;14;102785;13
22738;14;7;122;63;54;30;8;114;60;51;28;102786;22
22739;6;4;56;34;25;10;5;58;36;22;6;102787;1
22740;9;2;71;40;34;15;5;85;50;32;18;102788;8
22741;2;2;61;40;32;11;5;70;33;26;14;102789;7
22742;11;3;108;60;45;28;6;113;70;41;26;102790;2
22743;15;4;90;50;40;23;2;93;47;36;21;102791;5
22744;9;2;51;30;25;12;1;63;42;24;10;102792;3
22745;9;0;55;37;33;13;1;66;33;22;19;102793;2
22746;3;1;47;24;19;15;2;60;31;20;11;102794;1
22747;5;0;92;45;33;24;5;92;41;27;28;102795;4
22748;8;8;93;50;38;21;4;101;61;43;16;102796;18
22749;9;1;52;39;29;9;2;57;40;25;8;102797;2
22750;5;3;49;26;23;13;8;58;32;18;12;102798;1
22751;4;3;62;34;27;15;2;43;25;15;9;102799;2
22752;11;2;64;38;31;17;2;64;36;29;16;102800;6
22753;8;4;62;32;26;21;4;61;29;23;17;102801;5
22754;1;3;66;36;25;20;1;73;44;29;13;102802;8
22755;2;0;85;50;40;20;2;96;49;34;28;102803;3
22756;19;2;80;54;46;18;2;86;54;38;18;102804;1
22757;8;3;56;29;24;14;2;60;26;17;16;102805;3
22758;20;5;98;58;50;22;2;82;48;42;19;102806;8
22759;1;4;52;27;22;17;1;53;30;21;12;102807;3
22760;10;1;79;49;38;20;0;70;46;37;11;102808;14
22761;19;3;101;61;50;23;3;110;72;53;19;102809;3
22762;22;5;99;63;58;22;4;102;68;56;15;102810;9
22763;4;2;56;35;28;12;1;48;33;23;5;102811;3
22764;9;2;82;56;39;11;5;100;46;27;22;102812;2
22765;14;5;112;59;48;23;5;104;67;46;16;102813;3
22766;10;8;110;68;46;22;3;106;72;45;19;102814;4
22767;12;5;72;34;26;23;1;56;38;21;12;102815;4
22768;2;3;78;52;42;16;7;88;53;40;16;102816;6
22769;6;2;75;42;30;21;7;86;48;32;13;102817;8
22770;3;1;113;60;41;31;2;118;90;60;17;102818;1
22771;7;6;128;76;53;21;7;104;71;56;17;102819;5
22772;7;4;67;40;29;11;1;62;36;19;11;102820;3
22773;6;5;92;51;40;24;4;88;48;35;20;102821;13
22774;2;3;61;39;29;11;1;62;37;27;10;102822;11
22775;9;2;102;76;55;13;1;120;71;44;30;102823;10
22776;4;0;47;27;21;14;0;51;31;18;10;102824;3
22777;3;5;84;45;35;17;7;94;51;36;16;102825;0
22778;10;3;69;38;30;22;0;64;40;31;14;102826;6
22779;1;0;52;36;24;8;3;77;39;21;19;102827;6
22780;9;4;114;77;58;17;4;85;49;36;13;102828;6
22781;6;2;56;32;26;12;1;73;44;26;9;102829;2
22782;5;2;37;13;12;18;3;69;33;20;13;102830;2
22783;1;5;49;28;22;9;5;67;31;18;15;102831;5
22784;2;2;95;54;35;19;10;100;56;38;19;102832;11
22785;4;2;80;51;40;13;3;74;36;22;24;102833;12
22786;7;1;41;21;19;11;3;40;22;10;6;102834;1
22787;7;2;52;44;33;3;7;72;43;27;10;102835;5
22788;4;4;56;22;15;22;0;56;17;14;17;102836;2
22789;5;6;71;39;27;14;2;78;53;28;10;102837;3
22790;11;6;109;63;50;19;2;121;80;48;23;102838;1
22791;3;2;68;42;28;13;5;49;23;16;14;102839;4
23969;4;2;52;38;30;9;4;62;39;24;10;102840;6
23970;2;0;96;53;36;31;8;109;71;56;16;102841;9
22819;2;7;92;47;36;25;5;94;32;23;29;102842;5
22820;7;5;90;51;39;20;2;84;42;26;18;102843;0
22821;1;1;90;53;33;17;3;79;39;27;14;102844;6
22822;3;2;51;34;22;11;1;61;34;22;6;102845;3
22823;3;0;113;76;49;19;4;109;63;40;21;102846;7
22824;2;1;57;25;16;19;9;59;28;16;13;102847;1
22825;3;3;78;35;25;25;3;99;53;35;21;102848;3
22826;1;3;72;41;31;16;0;50;25;16;14;102849;1
22827;4;2;46;32;23;8;3;46;26;10;9;102850;3
22828;6;5;83;55;42;12;1;87;56;35;15;102851;5
22829;3;5;116;66;40;25;3;125;103;60;6;102852;0
22830;4;3;68;43;32;11;2;76;43;28;14;102853;1
22831;1;0;33;20;16;7;2;37;19;11;6;102854;0
22832;6;1;58;40;24;12;4;56;32;22;7;102855;0
22833;5;0;51;26;22;15;6;71;37;26;15;102856;2
22834;0;2;124;110;61;8;3;114;66;44;15;102857;1
22835;3;1;47;31;25;12;4;61;33;21;11;102858;0
22836;0;2;63;41;29;12;0;53;29;16;10;102859;1
22837;1;2;56;43;30;5;0;52;27;15;10;102860;1
22838;2;1;36;17;13;15;7;52;18;14;15;102861;2
22839;3;5;120;69;45;25;5;132;73;44;30;102862;2
22840;2;2;58;44;31;5;4;67;39;21;15;102863;3
22841;5;2;59;33;27;13;1;60;48;27;6;102864;1
22842;1;4;97;80;48;8;3;96;72;47;5;102865;3
22843;3;1;76;43;35;13;5;72;46;32;7;102866;3
22844;7;2;64;32;24;15;2;64;44;24;9;102867;2
22845;1;4;87;52;30;18;2;83;54;30;14;102868;2
22846;0;0;63;51;40;8;1;71;54;38;6;102869;2
22847;5;3;52;26;23;15;0;54;29;20;14;102870;1
22848;2;0;43;36;29;5;2;59;40;22;7;102871;0
22849;3;2;49;40;26;4;7;60;39;22;6;102872;1
22850;12;3;71;43;37;20;4;78;46;37;19;102873;11
22851;1;0;49;39;31;6;5;71;36;27;11;102874;5
22852;6;6;80;57;40;10;2;86;44;31;17;102875;7
22853;10;2;57;37;31;10;4;56;29;20;12;102876;2
22854;5;4;83;55;42;13;0;81;47;36;15;102877;6
22855;11;2;39;27;26;6;4;57;29;19;12;102878;1
22856;1;2;65;44;36;11;2;73;45;30;17;102879;5
22857;13;4;76;41;30;21;0;76;51;34;17;102880;6
22858;25;8;110;62;47;25;6;93;57;40;22;102881;11
22859;3;1;62;37;25;15;2;63;36;25;11;102882;7
22860;7;2;88;55;41;16;2;93;56;37;20;102883;4
22861;7;7;67;36;25;16;5;77;35;20;22;102884;7
22862;7;2;55;32;24;16;1;57;39;25;9;102885;5
22863;9;3;65;43;39;12;3;71;32;25;23;102886;8
22864;5;2;53;32;23;13;0;52;35;17;10;102887;6
22865;4;1;42;19;19;17;3;59;35;24;11;102888;7
22866;18;3;78;48;44;14;4;77;54;43;8;102889;8
22867;12;2;107;70;55;19;5;112;73;50;20;102890;9
22868;0;1;79;57;38;15;2;60;33;26;15;102891;12
22869;3;2;50;29;24;15;1;61;36;22;13;102892;2
22870;10;3;81;48;38;16;1;85;51;33;18;102893;1
22871;11;9;85;45;40;17;3;73;48;32;15;102894;3
22872;10;1;49;28;24;14;1;66;42;29;11;102895;6
22873;19;3;117;84;57;21;7;101;58;43;21;102896;6
22874;11;3;77;58;51;11;6;98;55;42;19;102897;16
22875;16;4;80;42;33;21;4;80;53;38;14;102898;8
22876;3;7;65;36;28;14;5;71;31;24;13;102899;11
22877;5;2;61;41;34;9;5;49;27;18;12;102900;4
22878;10;1;117;74;55;24;1;113;65;56;22;102901;11
22879;14;5;108;66;51;20;1;89;53;38;22;102902;9
22880;5;4;91;54;36;20;4;103;58;39;17;102903;7
22881;9;10;70;39;31;11;3;79;52;34;7;102904;1
22882;7;3;47;30;26;11;3;44;24;17;9;102905;0
22883;4;1;53;37;28;10;4;61;33;24;11;102906;9
22884;13;5;85;41;35;25;7;111;55;40;28;102907;2
22885;9;7;71;42;33;19;1;64;42;31;15;102908;5
22886;14;5;69;38;36;15;4;56;28;21;16;102909;6
22887;6;1;40;24;22;8;7;50;30;20;4;102910;0
22888;3;3;44;15;13;21;2;43;17;11;10;102911;2
22889;10;7;94;44;32;29;5;93;51;44;20;102912;12
22890;4;3;45;31;26;7;6;61;40;23;9;102913;5
22891;11;6;51;33;29;11;5;54;39;30;8;102914;13
22892;23;7;82;51;43;15;9;83;48;38;13;102915;9
22893;9;1;48;33;24;7;4;48;23;17;8;102916;10
22894;13;2;112;83;61;13;5;97;46;41;29;102917;12
22895;13;4;56;33;29;12;4;55;20;15;17;102918;2
22896;2;5;70;36;30;15;1;70;30;20;20;102919;4
22897;5;3;50;31;27;8;2;54;37;19;8;102920;3
22898;7;2;52;20;17;19;5;65;29;19;16;102921;3
24076;16;2;46;27;25;13;5;53;19;15;17;102922;3
24077;18;9;89;52;45;16;2;89;47;33;26;102923;5
24078;4;1;62;34;27;16;3;57;34;26;8;102924;9
24079;19;9;78;43;39;15;4;82;43;34;19;102925;7
24080;7;1;62;40;34;13;5;56;28;23;17;102926;9
24081;21;6;81;51;45;8;5;92;45;34;17;102927;7
24082;5;2;48;17;16;19;6;47;28;20;5;102928;1
24083;26;7;89;46;40;28;5;90;63;44;13;102929;6
24084;20;8;90;43;39;28;2;82;48;41;20;102930;11
24085;15;1;54;32;30;11;5;64;42;30;10;102931;3
24086;7;3;54;36;30;12;3;53;32;24;11;102932;2
24087;24;13;113;69;54;21;8;120;69;56;22;102933;14
24088;36;14;183;100;81;44;8;149;72;59;43;102934;34
24089;1;5;84;48;36;19;2;66;48;37;7;102935;9
24090;7;0;92;47;37;25;5;121;61;45;27;102936;6
24091;16;1;105;67;51;20;9;111;50;45;25;102937;20
24092;18;9;102;58;45;26;4;90;58;46;20;102938;11
24093;1;1;37;15;7;17;6;43;22;16;4;102939;3
24094;3;1;57;36;25;12;4;70;36;21;15;102940;0
24095;10;1;50;30;24;11;3;62;36;17;14;102941;2
